ticket_id,description,category,resolution
1522,Amet ad irure et aliquip consequat consequat eiusmod adipiscing sed nostrud ex laboris.,Technical issue,We have flagged this charge for review and will issue a refund within 3-5 business days if applicable.
1181,Ullamco ut quis quis nisi aute ullamco voluptate ut reprehenderit ut aliqua enim ullamco.,Account access,Please reset your password using the link we just sent to your registered email.
1815,Nostrud et sit ut ipsum et incididunt ullamco voluptate sit.,Technical issue,We have flagged this charge for review and will issue a refund within 3-5 business days if applicable.
1608,Dolore quis reprehenderit aliquip ipsum dolor quis sed exercitation ad reprehenderit ut.,Technical issue,We have flagged this charge for review and will issue a refund within 3-5 business days if applicable.
1830,Labore ut ad elit eiusmod aliqua aliqua minim adipiscing dolore incididunt magna labore nostrud.,Technical issue,We have flagged this charge for review and will issue a refund within 3-5 business days if applicable.
1808,Ullamco dolor amet nisi incididunt aliquip laboris irure aute labore nostrud adipiscing et.,Technical issue,We have flagged this charge for review and will issue a refund within 3-5 business days if applicable.
1990,Ut dolore nostrud in ut dolore commodo commodo laboris consequat aliquip nisi minim.,Billing,Our technical team will run a diagnostic on your connection within 24 hours.
1661,Aliqua et et elit do in enim do consectetur sit duis amet ea.,Billing,Our technical team will run a diagnostic on your connection within 24 hours.
1855,Aute ipsum labore ex consectetur dolore adipiscing consequat ea commodo elit aliqua magna.,Billing,Our technical team will run a diagnostic on your connection within 24 hours.
1692,Eiusmod ut incididunt ex ut minim ut commodo enim consequat et in voluptate.,Billing,Our technical team will run a diagnostic on your connection within 24 hours.
1472,Incididunt dolore minim reprehenderit consequat commodo consectetur eiusmod ullamco aute veniam amet duis duis.,Billing,Our technical team will run a diagnostic on your connection within 24 hours.
1291,Ex tempor irure adipiscing aliqua in do ut.,Technical issue,We have flagged this charge for review and will issue a refund within 3-5 business days if applicable.
1357,Magna magna dolore dolore sit do ut amet.,Technical issue,We have flagged this charge for review and will issue a refund within 3-5 business days if applicable.
1731,Labore adipiscing ipsum dolor enim consequat ex enim exercitation irure lorem do adipiscing.,Technical issue,We have flagged this charge for review and will issue a refund within 3-5 business days if applicable.
1962,Exercitation aliqua ea eiusmod consectetur eiusmod ullamco exercitation dolor consequat ad veniam ullamco.,Billing,Our technical team will run a diagnostic on your connection within 24 hours.
1588,Ut incididunt lorem et quis sed laboris minim et.,Technical issue,We have flagged this charge for review and will issue a refund within 3-5 business days if applicable.
1976,Veniam ea ad lorem aute ipsum dolore dolore ex et dolor eiusmod.,Technical issue,We have flagged this charge for review and will issue a refund within 3-5 business days if applicable.
1672,Amet nostrud ex consectetur et labore ullamco consequat nisi voluptate enim elit consectetur.,Billing,Our technical team will run a diagnostic on your connection within 24 hours.
1733,In ipsum sed commodo irure ut ut magna consequat enim ipsum ullamco incididunt aute.,Billing,Our technical team will run a diagnostic on your connection within 24 hours.
1048,Laboris tempor commodo aliqua magna aliqua reprehenderit labore sed nisi et commodo tempor sit.,Billing,Our technical team will run a diagnostic on your connection within 24 hours.
1434,Aliqua voluptate elit incididunt amet labore incididunt ut.,Technical issue,We have flagged this charge for review and will issue a refund within 3-5 business days if applicable.
1734,Elit ut ut aliquip dolor exercitation aliqua ullamco commodo dolor laboris.,Billing,Our technical team will run a diagnostic on your connection within 24 hours.
1415,Minim ex adipiscing ipsum duis nisi aliqua consectetur eiusmod ullamco.,Billing,Our technical team will run a diagnostic on your connection within 24 hours.
1370,In ipsum adipiscing ut et ut sit consectetur et ut tempor.,Billing,Our technical team will run a diagnostic on your connection within 24 hours.
1983,Ipsum sed minim dolor consectetur ea ut do.,Billing,Our technical team will run a diagnostic on your connection within 24 hours.
1626,Nisi voluptate sed consectetur sit elit ut voluptate commodo reprehenderit.,Billing,Our technical team will run a diagnostic on your connection within 24 hours.
1327,Labore dolor veniam irure duis ut dolor ullamco commodo ad consectetur sed consectetur.,Billing,Our technical team will run a diagnostic on your connection within 24 hours.
1809,Ipsum veniam et commodo veniam exercitation sit ut voluptate ut minim.,Billing,Our technical team will run a diagnostic on your connection within 24 hours.
1787,Consequat sit reprehenderit ullamco ut nisi labore aute ea ullamco elit.,Account access,Please reset your password using the link we just sent to your registered email.
1989,Aliqua dolor dolor consectetur adipiscing elit ut ut labore.,Billing,Our technical team will run a diagnostic on your connection within 24 hours.
1963,Irure duis eiusmod ullamco veniam consectetur ut minim ad elit in adipiscing.,Billing,Our technical team will run a diagnostic on your connection within 24 hours.
1674,Ut exercitation duis quis consequat ipsum ipsum ullamco quis ullamco ex magna.,Account access,Please reset your password using the link we just sent to your registered email.
1654,Ad exercitation incididunt reprehenderit enim commodo nisi incididunt.,Billing,Our technical team will run a diagnostic on your connection within 24 hours.
1074,Dolor aliqua enim sed exercitation ut ut aliquip aute reprehenderit consectetur et quis.,Billing,Our technical team will run a diagnostic on your connection within 24 hours.
1326,Enim tempor eiusmod amet incididunt dolore exercitation eiusmod aute.,Technical issue,We have flagged this charge for review and will issue a refund within 3-5 business days if applicable.
1163,Labore quis ut ex ad minim ad ut lorem in ad reprehenderit do et.,Account access,Please reset your password using the link we just sent to your registered email.
1051,Ad aute laboris enim veniam duis aliqua aute aliquip ex.,General Inquiry,Thank you for reaching out; a support representative will respond within one business day.
1374,Magna quis sed veniam sit ad ex incididunt.,Technical issue,We have flagged this charge for review and will issue a refund within 3-5 business days if applicable.
1638,Exercitation consectetur amet dolore voluptate veniam et adipiscing nostrud magna ipsum ipsum ut.,Billing,Our technical team will run a diagnostic on your connection within 24 hours.
1823,Minim adipiscing irure adipiscing in ut dolore exercitation duis nostrud ad.,Technical issue,We have flagged this charge for review and will issue a refund within 3-5 business days if applicable.
1521,Ad quis enim lorem labore amet magna ut irure aute ullamco nostrud.,Account access,Please reset your password using the link we just sent to your registered email.
1271,Ea ea quis aliquip nostrud elit ullamco exercitation duis adipiscing nisi ipsum in.,Technical issue,We have flagged this charge for review and will issue a refund within 3-5 business days if applicable.
1112,Lorem ut adipiscing nisi magna ea dolor aute aliquip.,Technical issue,We have flagged this charge for review and will issue a refund within 3-5 business days if applicable.
1063,Consectetur sed ut laboris minim ut elit dolor labore et ea ut ullamco.,Billing,Our technical team will run a diagnostic on your connection within 24 hours.
1709,Exercitation sed eiusmod veniam do reprehenderit incididunt incididunt sed ut.,Technical issue,We have flagged this charge for review and will issue a refund within 3-5 business days if applicable.
1324,Labore in commodo tempor consectetur nisi dolore voluptate consequat reprehenderit commodo.,Billing,Our technical team will run a diagnostic on your connection within 24 hours.
1297,Incididunt ut labore ut tempor enim sed veniam.,Technical issue,We have flagged this charge for review and will issue a refund within 3-5 business days if applicable.
1955,Nisi consectetur exercitation nostrud eiusmod laboris minim ullamco dolor magna ut amet.,Billing,Our technical team will run a diagnostic on your connection within 24 hours.
1789,Lorem veniam dolor magna in aute enim sed reprehenderit.,Technical issue,We have flagged this charge for review and will issue a refund within 3-5 business days if applicable.
1328,Ullamco dolor sit quis veniam aliquip in dolor elit aute.,Technical issue,We have flagged this charge for review and will issue a refund within 3-5 business days if applicable.
1180,Voluptate magna ad in reprehenderit dolor aute lorem.,Technical issue,We have flagged this charge for review and will issue a refund within 3-5 business days if applicable.
1581,Amet voluptate incididunt voluptate veniam ad in duis enim sed amet adipiscing.,Technical issue,We have flagged this charge for review and will issue a refund within 3-5 business days if applicable.
1469,Tempor sed aliquip commodo quis ex elit duis irure consequat minim sit laboris.,Billing,Our technical team will run a diagnostic on your connection within 24 hours.
1189,Enim in lorem dolore ut tempor labore nostrud quis.,Technical issue,We have flagged this charge for review and will issue a refund within 3-5 business days if applicable.
1267,Et eiusmod laboris enim adipiscing nisi dolor irure ea nisi ullamco in et.,Technical issue,We have flagged this charge for review and will issue a refund within 3-5 business days if applicable.
1226,Reprehenderit enim ut voluptate dolore ut dolor ex commodo.,Billing,Our technical team will run a diagnostic on your connection within 24 hours.
1845,Ex nisi nostrud ea minim minim et dolor amet.,Technical issue,We have flagged this charge for review and will issue a refund within 3-5 business days if applicable.
1848,Irure sed veniam elit duis aliqua nisi ut ad irure ut dolor.,Technical issue,We have flagged this charge for review and will issue a refund within 3-5 business days if applicable.
1135,Magna quis quis laboris ut lorem eiusmod lorem do sit aliqua ut.,General Inquiry,Thank you for reaching out; a support representative will respond within one business day.
1554,In dolor in ipsum magna ea ex voluptate.,Technical issue,We have flagged this charge for review and will issue a refund within 3-5 business days if applicable.
1661,Dolore irure ut dolor dolore sit reprehenderit aute consectetur duis consectetur.,Billing,Our technical team will run a diagnostic on your connection within 24 hours.
1550,Minim aliquip do lorem lorem incididunt laboris veniam minim consequat eiusmod.,Technical issue,We have flagged this charge for review and will issue a refund within 3-5 business days if applicable.
1354,Tempor in aliquip amet commodo aliqua ex irure lorem.,Billing,Our technical team will run a diagnostic on your connection within 24 hours.
1211,Amet ipsum nostrud ut dolor aliquip magna eiusmod.,Technical issue,We have flagged this charge for review and will issue a refund within 3-5 business days if applicable.
1222,Aute dolor ad incididunt consequat aliquip ut nostrud laboris ut incididunt adipiscing laboris do.,Technical issue,We have flagged this charge for review and will issue a refund within 3-5 business days if applicable.
1307,Dolor in aute dolor exercitation aliqua ad reprehenderit in laboris.,Technical issue,We have flagged this charge for review and will issue a refund within 3-5 business days if applicable.
1804,Ut magna adipiscing dolore ex enim duis incididunt ut commodo dolor quis.,Billing,Our technical team will run a diagnostic on your connection within 24 hours.
1991,Veniam consectetur eiusmod sed ullamco dolor duis sit aliquip sed tempor.,Billing,Our technical team will run a diagnostic on your connection within 24 hours.
1689,Nostrud aute sed ex aliquip quis enim aute labore reprehenderit lorem in.,Account access,Please reset your password using the link we just sent to your registered email.
1985,Consectetur voluptate enim eiusmod nostrud sed dolor veniam ea dolore minim et tempor.,Billing,Our technical team will run a diagnostic on your connection within 24 hours.
1525,Enim commodo aliquip ex ut sed ut ipsum aute aliquip lorem.,Billing,Our technical team will run a diagnostic on your connection within 24 hours.
1566,Quis magna adipiscing labore dolore consequat ad laboris nisi tempor consequat reprehenderit.,Technical issue,We have flagged this charge for review and will issue a refund within 3-5 business days if applicable.
1657,Ad elit commodo elit ut enim dolor veniam ullamco dolor ipsum duis in.,Billing,Our technical team will run a diagnostic on your connection within 24 hours.
1684,Ex magna duis do ut lorem ad dolore.,Technical issue,We have flagged this charge for review and will issue a refund within 3-5 business days if applicable.
1632,Laboris exercitation enim enim lorem veniam lorem minim tempor voluptate lorem commodo laboris.,Billing,Our technical team will run a diagnostic on your connection within 24 hours.
1825,Amet amet adipiscing sed minim consequat tempor magna dolore.,Technical issue,We have flagged this charge for review and will issue a refund within 3-5 business days if applicable.
1415,Quis voluptate do nisi duis laboris duis ex amet dolore veniam.,Technical issue,We have flagged this charge for review and will issue a refund within 3-5 business days if applicable.
1057,Lorem elit ad aliqua ea quis duis amet minim ipsum do aute irure.,Account access,Please reset your password using the link we just sent to your registered email.
1486,Dolor sit dolor irure quis ipsum dolor ut reprehenderit nostrud.,Technical issue,We have flagged this charge for review and will issue a refund within 3-5 business days if applicable.
1770,Ut magna sit adipiscing eiusmod consequat dolore irure labore ex adipiscing voluptate aliquip ad.,Technical issue,We have flagged this charge for review and will issue a refund within 3-5 business days if applicable.
1997,Dolor aliqua duis labore ea reprehenderit magna ea ipsum tempor.,Technical issue,We have flagged this charge for review and will issue a refund within 3-5 business days if applicable.
1461,Do veniam dolore elit nostrud dolore ea incididunt eiusmod sit tempor.,Technical issue,We have flagged this charge for review and will issue a refund within 3-5 business days if applicable.
1389,Ea adipiscing dolore et sit in ut ex amet sit aliqua veniam minim.,Technical issue,We have flagged this charge for review and will issue a refund within 3-5 business days if applicable.
1105,Sit veniam nostrud ea aute lorem magna ea.,Account access,Please reset your password using the link we just sent to your registered email.
1742,Irure voluptate quis elit dolore consectetur incididunt ad dolor aliqua aliqua enim.,Billing,Our technical team will run a diagnostic on your connection within 24 hours.
1078,Eiusmod eiusmod exercitation nostrud sed amet ut in labore exercitation.,Account access,Please reset your password using the link we just sent to your registered email.
1823,Labore labore consequat duis reprehenderit consectetur ut in sed ut reprehenderit reprehenderit incididunt nisi.,Billing,Our technical team will run a diagnostic on your connection within 24 hours.
1502,Ea labore incididunt ea et in sed voluptate elit ea ipsum aliquip.,Technical issue,We have flagged this charge for review and will issue a refund within 3-5 business days if applicable.
1965,Do commodo consequat dolor duis commodo laboris consectetur ut eiusmod adipiscing aliqua dolore.,Billing,Our technical team will run a diagnostic on your connection within 24 hours.
1459,Enim magna ad dolor nisi veniam commodo et irure veniam ullamco sit.,Billing,Our technical team will run a diagnostic on your connection within 24 hours.
1787,Laboris et ullamco ipsum voluptate nisi magna ex reprehenderit.,Account access,Please reset your password using the link we just sent to your registered email.
1440,Lorem tempor ad minim quis quis ut dolore.,Technical issue,We have flagged this charge for review and will issue a refund within 3-5 business days if applicable.
1790,Nostrud ad labore ipsum amet magna reprehenderit amet in adipiscing ut ut sed.,Technical issue,We have flagged this charge for review and will issue a refund within 3-5 business days if applicable.
1494,Enim aliqua nisi ut incididunt commodo amet duis ullamco nisi.,Billing,Our technical team will run a diagnostic on your connection within 24 hours.
1168,Eiusmod elit adipiscing quis reprehenderit do magna elit ullamco aliqua ipsum exercitation sed.,Technical issue,We have flagged this charge for review and will issue a refund within 3-5 business days if applicable.
1606,Dolore ut sed ex commodo dolor amet aute sed labore ut.,Billing,Our technical team will run a diagnostic on your connection within 24 hours.
1268,Aute minim ullamco nostrud exercitation nostrud labore duis exercitation commodo ut incididunt exercitation.,Billing,Our technical team will run a diagnostic on your connection within 24 hours.
1086,Consectetur consectetur ut elit nisi ad magna consectetur dolore elit ullamco nisi ullamco.,Billing,Our technical team will run a diagnostic on your connection within 24 hours.
1177,Elit incididunt sed duis exercitation aute in enim sed dolore quis laboris.,Technical issue,We have flagged this charge for review and will issue a refund within 3-5 business days if applicable.
1418,Ad ut ut elit quis commodo do ipsum do incididunt ea quis ea.,Billing,Our technical team will run a diagnostic on your connection within 24 hours.
1507,Ad quis tempor veniam voluptate veniam ex ex aliqua do aliqua aliquip.,General Inquiry,Thank you for reaching out; a support representative will respond within one business day.
